created_at,date,hours,project,description,rate,consultant
"2016-06-22 19:10:25","2019-01-01",8,"_Public Holiday","","Public holiday","John Lasseter"
"2016-06-22 19:10:25","2019-01-01",8,"_Public Holiday","","Public holiday","Stanislav Valasek"
"2016-06-22 19:10:25","2019-01-02",8,"_Vacation","","Vacation","John Lasseter"
"2016-06-22 19:10:25","2019-01-02",8,"_Training","Knowledge base study","Off-site","Stanislav Valasek"
"2016-06-22 19:10:25","2019-01-03",2,"_Sick","Teeth doctor","Sick","John Lasseter"
"2016-06-22 19:10:25","2019-01-07",8,"_Training","Knowledge base study","Off-site","Stanislav Valasek"
"2016-06-22 19:10:25","2019-01-08",2,"_Sick","Teeth doctor","Sick","John Lasseter"
"2016-06-22 19:10:25","2019-02-01",8,"_Training","Knowledge base study","Off-site","Stanislav Valasek"
"2016-06-22 19:10:25","2019-02-01",2,"_Sick","Teeth doctor","Sick","John Lasseter"
"2016-06-22 19:10:25","2019-02-04",8,"_Training","Knowledge base study","Off-site","Stanislav Valasek"
"2016-06-22 19:10:25","2019-02-04",2,"_Sick","Teeth doctor","Sick","John Lasseter"
