created_at,date,hours,project,description,rate,consultant
2019-01-10 10:00:00,2019-01-01,6,Vue,Updates of all Vue.js documentation examples using typescript,Standard,Evan You
2019-01-10 10:00:00,2019-01-02,13,Vue,Updates of all Vue.js documentation examples using typescript,Standard,Evan You
2019-01-10 10:00:00,2019-01-03,4,_Training,Core concepts,Standard,Evan You
2019-01-10 10:00:00,2019-01-03,2,_Marketing and Sales,Demo materials for Toronto conference,Standard,Evan You
2019-01-10 10:00:00,2019-01-03,3,_Travel Time,Commute to Toronto,Standard,Evan You
2019-01-10 10:00:00,2019-01-03,3,_Project management,Publish rules for project controbutors,Standard,Evan You
2019-01-10 10:00:00,2019-01-04,4,_Sick,,Sick,Evan You
2019-01-10 10:00:00,2019-01-04,4,_Vacation,,Vacation,Evan You
2019-01-10 10:00:00,2019-01-07,3,_Sick Day,,Sick Day,Evan You
2019-01-10 10:00:00,2019-01-07,3,_Personal Day,,Personal Day,Evan You
2019-01-10 10:00:00,2019-01-07,2,_Unpaid Leave,,Unpaid Leave,Evan You
2019-01-10 10:00:00,2019-01-01,6,Vuetify,Vuetify mobile polishing,Standard,John Leider
2019-01-10 10:00:00,2019-01-02,13,Vuetify,Vuetify mobile polishing,Standard,John Leider
2019-01-10 10:00:00,2019-01-03,4,_Training,Core concepts,Standard,John Leider
2019-01-10 10:00:00,2019-01-03,2,_Marketing and Sales,Demo materials for Toronto conference,Standard,John Leider
2019-01-10 10:00:00,2019-01-03,3,_Travel Time,Commute to Toronto,Standard,John Leider
2019-01-10 10:00:00,2019-01-03,3,_Project management,Publish rules for project controbutors,Standard,John Leider
2019-01-10 10:00:00,2019-01-04,4,_Sick,,Sick,John Leider
2019-01-10 10:00:00,2019-01-04,4,_Vacation,,Vacation,John Leider
2019-01-10 10:00:00,2019-01-07,3,_Sick Day,,Sick Day,John Leider
2019-01-10 10:00:00,2019-01-07,3,_Personal Day,,Personal Day,John Leider
2019-01-10 10:00:00,2019-01-07,2,_Unpaid Leave,,Unpaid Leave,John Leider
2019-01-10 10:00:00,2019-01-01,6,Google,Merge of community packages into Go standard library,Standard,Russ Cox
2019-01-10 10:00:00,2019-01-02,13,Google,Merge of community packages into Go standard library,Standard,Russ Cox
2019-01-10 10:00:00,2019-01-03,4,_Training,Core concepts,Standard,Russ Cox
2019-01-10 10:00:00,2019-01-03,2,_Marketing and Sales,Demo materials for Toronto conference,Standard,Russ Cox
2019-01-10 10:00:00,2019-01-03,3,_Travel Time,Commute to Toronto,Standard,Russ Cox
2019-01-10 10:00:00,2019-01-03,3,_Project management,Publish rules for project controbutors,Standard,Russ Cox
2019-01-10 10:00:00,2019-01-04,4,_Sick,,Sick,Russ Cox
2019-01-10 10:00:00,2019-01-04,4,_Vacation,,Vacation,Russ Cox
2019-01-10 10:00:00,2019-01-07,3,_Sick Day,,Sick Day,Russ Cox
2019-01-10 10:00:00,2019-01-07,3,_Personal Day,,Personal Day,Russ Cox
2019-01-10 10:00:00,2019-01-07,2,_Unpaid Leave,,Unpaid Leave,Russ Cox
2019-01-10 10:00:00,2019-01-01,6,Spotify,Identify and document team delivery best practicies,Standard,Stanislav Valasek
2019-01-10 10:00:00,2019-01-02,13,Spotify,Identify and document team delivery best practicies,Standard,Stanislav Valasek
2019-01-10 10:00:00,2019-01-03,4,_Training,Core concepts,Standard,Stanislav Valasek
2019-01-10 10:00:00,2019-01-03,2,_Marketing and Sales,Demo materials for Toronto conference,Standard,Stanislav Valasek
2019-01-10 10:00:00,2019-01-03,3,_Travel Time,Commute to Toronto,Standard,Stanislav Valasek
2019-01-10 10:00:00,2019-01-03,3,_Project management,Publish rules for project controbutors,Standard,Stanislav Valasek
